created_at,updated_at,id,station_name,icao,iata,traditional_station_identifier,latitude,longitude,altitude,timezone,wigos_station_identifier,teritory_name,wmo_region
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,1,Sultan Hasanuddin - Makassar,WAAA,UPG,97180,-5.0625,119.5625,11.76,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,2,Frans Kaisiepo - Biak,WABB,BIK,97560,-1.1883,136.1058,12,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,3,Douw Aturure - Nabire,WABI,NBX,97682,-3.3747,135.4956,12.18,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,4,Stevanus Rumbewas - Serui,WABO,ZRI,97570,-1.8308,136.0667,6.4,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,5,Sultan Muhammad Salahuddin - Bima,WADB,BMU,97270,-8.5417,118.6919,2.67,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,6,I Gusti Ngurah Rai - Denpasar,WADD,DPS,97230,-8.7461,115.1658,5,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,7,Bandara Internasional Lombok - Praya,WADL,LOP,97240,-8.7581,116.2764,13,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,8,Sultan Muhammad Kaharuddin - Sumbawa Besar,WADS,SWQ,97260,-8.4883,117.4119,9,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,9,Sultan Babullah - Ternate,WAEE,TTE,97430,0.8328,127.3797,15,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,10,Gamar Malamo - Galela,WAEG,GLX,97406,1.8383,127.7869,55,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,11,Oesman Sadik - Labuha,WAEL,LAH,97460,-0.6447,127.4978,40.4,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,12,Emalamo - Sanana,WAES,SQN,97600,-2.0981,125.9658,7,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,13,Pitu - Morotai,WAEW,OTI,97404,2.05,128.3167,26,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,14,Mutiara SIS Al-Jufri - Palu,WAFF,PLW,97072,-0.9175,119.907,86,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,15,Sultan Bantilan - Toli Toli,WAFL,TLI,97028,1.1233,120.7939,6,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,16,Andi Jemma - Masamba,WAFM,MXB,97126,-2.5581,120.324,39,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,17,Kasiguncu - Poso,WAFP,PSJ,97096,-1.4189,120.6578,9,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,18,Pongtiku - Tana Toraja,WAFT,TTR,97124,-3.0425,119.8197,821,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,19,Syukuran Aminuddin Amir - Luwuk,WAFW,LUW,97086,-1.0406,122.7708,17,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,20,Haji Muhammad Sidik - Muara Teweh,WAGB,MTW,96595,-1.0211,114.9264,44,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,21,Tjilik Riwut - Palangkaraya,WAGG,PKY,96655,-2.2267,113.9439,13,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,22,Iskandar - Pangkalan Bun,WAGI,PKN,96645,-2.7042,111.6689,26,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,23,Sanggu - Buntok,WAGM,BTK,96653,-1.6694,114.8989,8,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,24,Haji Asan - Sampit,WAGS,SMQ,96651,-2.5011,112.9769,11,Asia/Makassar,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,25,Adi Sutjipto - Yogyakarta,WAHH,JOG,96853,-7.7881,110.4317,350,Asia/Jakarta,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,26,Tunggul Wulung - Cilacap,WAHL,CXP,96805,-7.6483,109.0467,19.61,Asia/Jakarta,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,27,Adi Soemarmo - Surakarta,WAHQ,SOC,96845,-7.5136,110.7506,106,Asia/Jakarta,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,28,Ahmad Yani - Semarang,WAHS,SRG,96839,-6.9708,110.3739,10,Asia/Jakarta,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,29,Mararena / Orai - Sarmi,WAJI,ZRM,97580,-1.8497,138.75,3,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,30,Sentani - Jayapura,WAJJ,DJJ,97690,-2.5706,140.5128,58,Asia/Jayapura,,,
2024-07-17 06:50:46.927679 +00:00,2024-07-17 06:50:46.927679 +00:00,31,Mopah - Merauke,WAKK,MKQ,97980,-8.5175,140.4169,3,Asia/Jayapura,,,
