station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name,wmo_region
ALOR/MALI KALAHAHI,0-20000-0-97320,97320,Land (fixed),-8.1369582,124.5923495,11.8,,Indonesia,5
AMAHAI,0-20000-0-97722,97722,Land (fixed),-3.346475,128.928114,10.0,,Indonesia,5
AMBON/PATTIMURA,0-20000-0-97724,97724,Land (fixed),-3.711136,128.085393,14.0,,Indonesia,5
BALIKPAPAN/SEPINGGAN,0-20000-0-96633,96633,Land (fixed),-1.26247,116.89472,3.05,,Indonesia,5
BANDA ACEH/BLANG BINTANG,0-20000-0-96011,96011,Land (fixed),5.522383,95.41685,19.82,,Indonesia,5
BANDUNG/HUSEIN,0-20000-0-96781,96781,Land (fixed),-6.9,107.5833333,740.0,,Indonesia,5
BANJARMASIN/SYAMSUDIN NOOR,0-20000-0-96685,96685,Land (fixed),-3.438748,114.752365,15.8,,Indonesia,5
BANYUWANGI,0-20000-0-96987,96987,Land (fixed),-8.215247,114.3553277,43.0,,Indonesia,5
BATAM/HANG NADIM,0-20000-0-96087,96087,Land (fixed),1.119098,104.113581,26.0,,Indonesia,5
BAU-BAU/BETO AMBARI,0-20000-0-97192,97192,Land (fixed),-5.487867,122.570867,35.0,,Indonesia,5
BENGKULU/PADANG KEMILING,0-20000-0-96253,96253,Land (fixed),-3.883333333,102.3333333,18.0,,Indonesia,5
BIAK/FRANS KAISIEPO,0-20000-0-97560,97560,Land (fixed),-1.183333333,136.1166667,39.0,,Indonesia,5
BIMA/M.SALAHUDDIN,0-20000-0-97270,97270,Land (fixed),-8.542475,118.6929833,2.67,,Indonesia,5
BITUNG,0-20000-0-97016,97016,Land (fixed),1.443097,125.179892,4.0,,Indonesia,5
BOGOR/CITEKO,0-20000-0-96751,96751,Land (fixed),-6.7,106.95092,1031.0,,Indonesia,5
CILACAP,0-20000-0-96805,96805,Land (fixed),-7.733333333,109.0166667,6.0,,Indonesia,5
CIREBON/JATIWANGI,0-20000-0-96791,96791,Land (fixed),-6.75,108.2666667,42.3,,Indonesia,5
CURUG/BUDIARTO,0-20000-0-96739,96739,Land (fixed),-6.233333333,106.65,26.0,,Indonesia,5
DENPASAR/NGURAH RAI,0-20000-0-97230,97230,Land (fixed),-8.7498871,115.1765627,4.0,,Indonesia,5
DEO SORONG,0-20000-0-97502,97502,Land (fixed),-0.891134,131.285757,4.5,,Indonesia,5
ENAROTALI,0-20000-0-97780,97780,Land (fixed),-3.926791,136.378213,1772.0,,Indonesia,5
FAK-FAK/TOREA,0-20000-0-97630,97630,Land (fixed),-2.919331,132.264951,135.0,,Indonesia,5
GALELA/GAMAR MALAMU,0-20000-0-97406,97406,Land (fixed),1.837884,127.787885,16.0,,Indonesia,5
GESER,0-20000-0-97748,97748,Land (fixed),-3.886771,130.895515,1.5,,Indonesia,5
GORONTALO/JALALUDDIN,0-20000-0-97048,97048,Land (fixed),0.639074,122.851253,32.0,,Indonesia,5
GUNUNG SITOLI/BINAKA,0-20000-0-96075,96075,Land (fixed),1.164918,97.703593,7.0,,Indonesia,5
JAKARTA/OBSERVATORY,0-20000-0-96745,96745,Land (fixed),-6.183333333,106.8333333,4.0,,Indonesia,5
JAKARTA/SOEKARNO-HATTA,0-20000-0-96749,96749,Land (fixed),-6.12211,106.65472,14.8,,Indonesia,5
JAKARTA/TANJUNG PRIOK,0-20000-0-96741,96741,Land (fixed),-6.1,106.8666667,1.0,,Indonesia,5
JAMBI/SULTAN TAHA,0-20000-0-96195,96195,Land (fixed),-1.633333333,103.65,26.0,,Indonesia,5
JAYAPURA/DOK II,0-20000-0-97698,97698,Land (fixed),-2.537751,140.715075,5.3,,Indonesia,5
